rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	30.00	yes	no
45	1	0.0000	0.0000	44.99	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	0.0000	0.0000	109.98	109.98	yes	no
160	1	0.0000	0.0000	159.98	159.97	yes	no
240	1	0.0000	0.0000	239.97	239.96	yes	no
360	3	0.0051	0.0035,0.0051,0.0086	359.95	359.92	yes	no
540	1	16.2568	16.2568	539.93	452.14	no	no
810	1	27.8348	27.8348	809.89	584.43	no	no
1200	1	35.7241	35.7241	1199.85	771.18	no	no
